id,gauge,gauge_nylon_web,gauge_carbon_web,gauge_nylon_pdf,gauge_carbon_pdf,gauge_d,gauge_da_nylon
36NNG,0.0142,0.0157,0.0118,0.0157,0.0118,0.0287,0.0162
38NNG,0.015,0.0165,0.0126,0.0165,0.013,0.0299,0.0171
40NNG,0.0157,0.0173,0.0134,0.0181,0.0138,0.0311,0.018
42NNG,0.0165,0.0181,0.0142,0.0187,0.0146,0.0323,0.0189
44NNG,0.0173,0.0189,0.015,0.0197,0.015,0.0335,0.0198
46NNG,0.0181,0.0205,0.0157,0.0207,0.0157,0.0346,0.0207
48NNG,0.0189,0.0213,0.0157,0.0213,0.0165,0.0358,0.0216
50NNG,0.0197,0.022,0.0165,0.022,0.0173,0.037,0.0225
52NNG,0.0205,0.0228,0.0173,0.0226,0.0181,0.0382,0.0234
54NNG,0.0213,0.0236,0.0181,0.0236,0.0185,0.0394,0.0243
56NNG,0.022,0.0244,0.0189,0.0246,0.0189,0.0409,0.0252
58NNG,0.0228,0.0252,0.0197,0.0256,0.0197,0.0425,0.0261
60NNG,0.0236,0.026,0.0205,0.0266,0.0205,0.0441,0.027
62NNG,0.0244,0.0268,0.0205,0.0276,0.0213,0.0457,0.0279
64NNG,0.0252,0.0276,0.0213,0.0285,0.022,0.0472,0.0288
66NNG,0.026,0.0287,0.022,0.0295,0.0224,0.0488,0.0297
68NNG,0.0268,0.0287,0.0228,0.0305,0.0236,0.0504,0.0306
70NNG,0.0276,0.0299,0.0236,0.0315,0.0244,0.052,0.0315
73NNG,0.0287,0.0311,0.0244,0.0325,0.0252,0.0535,0.0328
76NNG,0.0299,0.0335,0.0252,0.0335,0.026,0.0551,0.0342
79NNG,0.0311,0.0346,0.0268,0.0344,0.0268,0.0571,0.0355
82NNG,0.0323,0.0358,0.0276,0.0364,0.0283,0.0591,0.0369
85NNG,0.0335,0.037,0.0287,0.0374,0.0291,0.061,0.0382
88NNG,0.0346,0.0382,0.0299,0.0384,0.0299,0.063,0.0396
91NNG,0.0358,0.0394,0.0311,0.0394,0.0311,0.065,0.0409
94NNG,0.037,0.0409,0.0311,0.0409,0.0327,0.0669,0.0423
97NNG,0.0382,0.0421,0.0323,,0.0335,0.0689,0.0436
100NNG,0.0394,0.0437,0.0335,,0.035,0.0709,0.045
104NNG,0.0409,0.0453,0.0346,,0.0358,0.0728,0.0468
108NNG,0.0425,0.0472,,,,0.0748,0.0486
112NNG,0.0441,0.0488,,,,0.0768,0.0504
